origem_piloto,backend,dataset_representation,source_url,status,cache_hit,cache_path,download_status,dataset_open_status,time_decode_mode,calendar_observed,time_units_observed,calendar_original,calendar_normalized,calendar_normalization_applied,motivo,localizacao
2003-01,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(Jan%202003)/(Jan%202003)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_2003-01_d7b261cea6.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
2003-02,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(Feb%202003)/(Feb%202003)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_2003-02_bb47153901.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
2003-03,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(Mar%202003)/(Mar%202003)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_2003-03_656fa8511b.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
2003-04,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(Apr%202003)/(Apr%202003)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_2003-04_824c31abdc.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
2003-05,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(May%202003)/(May%202003)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_2003-05_db83caeaac.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
2003-06,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(Jun%202003)/(Jun%202003)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_2003-06_dcda4add3d.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
2003-07,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(Jul%202003)/(Jul%202003)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_2003-07_50111bd42c.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
2003-08,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(Aug%202003)/(Aug%202003)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_2003-08_03ac91a261.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
2003-09,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(Sep%202003)/(Sep%202003)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_2003-09_ada1c41c9e.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
2003-10,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(Oct%202003)/(Oct%202003)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_2003-10_a4cafa893a.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
