ano,mes,init_date,poc_status,backend_used,backend_diferente_da_validada,dataset_representation_used,representacao_diferente_da_validada,inicializacao_selecao_status,n_raw,member_count_per_lead_ok,temporal_mapping_confirmado,unidade_confirmada,grade_confirmada,erro_inesperado,localizacao
1995,1,1995-01,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1995,2,1995-02,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1995,3,1995-03,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1995,4,1995-04,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1995,5,1995-05,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1995,6,1995-06,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1995,7,1995-07,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1995,8,1995-08,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1995,9,1995-09,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1995,10,1995-10,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1995,11,1995-11,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1995,12,1995-12,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1996,1,1996-01,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1996,2,1996-02,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1996,3,1996-03,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1996,4,1996-04,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1996,5,1996-05,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1996,6,1996-06,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1996,7,1996-07,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1996,8,1996-08,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1996,9,1996-09,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1996,10,1996-10,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1996,11,1996-11,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1996,12,1996-12,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1997,1,1997-01,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
1997,2,1997-02,APROVADO,IRIDL_LEGACY,False,NMME_HARMONIZED_MONTHLY,False,RANGEEDGES_OK,144,True,True,True,True,,Fazendas_Sinobras_Centroide
