origem_piloto,backend,dataset_representation,source_url,status,cache_hit,cache_path,download_status,dataset_open_status,time_decode_mode,calendar_observed,time_units_observed,calendar_original,calendar_normalized,calendar_normalization_applied,motivo,localizacao
1995-01,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(Jan%201995)/(Jan%201995)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_1995-01_b5455d5aca.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
1995-02,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(Feb%201995)/(Feb%201995)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_1995-02_0fb5a2dc8a.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
1995-03,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(Mar%201995)/(Mar%201995)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_1995-03_aef9774764.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
1995-04,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(Apr%201995)/(Apr%201995)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_1995-04_5dd6577604.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
1995-05,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(May%201995)/(May%201995)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_1995-05_12c39106aa.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
1995-06,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(Jun%201995)/(Jun%201995)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_1995-06_96b97af06e.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
1995-07,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(Jul%201995)/(Jul%201995)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_1995-07_8c26de548f.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
1995-08,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(Aug%201995)/(Aug%201995)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_1995-08_dc01e055ea.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
1995-09,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(Sep%201995)/(Sep%201995)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_1995-09_d4b5a755e8.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
1995-10,IRIDL_LEGACY,NMME_HARMONIZED_MONTHLY,https://iridl.ldeo.columbia.edu/SOURCES/.Models/.NMME/.NCEP-CFSv2/.HINDCAST/.MONTHLY/.prec/X/-47.95/VALUE/Y/-7.8/VALUE/S/(Oct%201995)/(Oct%201995)/RANGEEDGES/L/(0.5)/(5.5)/RANGEEDGES/data.nc,OK,False,/home/runner/work/sinobras-clima/sinobras-clima/cache/nmme/NOAA_NCEP_CFSv2_IRIDL_LEGACY_NMME_HARMONIZED_MONTHLY_1995-10_8c78810b22.nc,OK,OK,CF_DATETIME_NORMALIZED_ALIAS,360_day,months since 1960-01-01,360,360_day,True,,Fazendas_Sinobras_Centroide
