modelo,origem,converged,iterations,optimizer,maxiter_config,warning_convergencia_emitido,aic,llf
SARIMA_sem_exog,2003-03,True,38,lbfgs,,False,2673.2039320839144,-1330.6019660419572
SARIMAX_atual,2003-03,False,50,lbfgs,,True,2622.8231855509102,-1302.4115927754551
SARIMA_sem_exog,2003-06,True,33,lbfgs,,False,2703.537100398624,-1345.768550199312
SARIMAX_atual,2003-06,False,50,lbfgs,,True,2653.1158382441076,-1317.5579191220538
SARIMA_sem_exog,2003-09,True,31,lbfgs,,False,2733.8762313807383,-1360.9381156903692
SARIMAX_atual,2003-09,False,50,lbfgs,,True,2683.219251685672,-1332.609625842836
SARIMA_sem_exog,2003-12,True,31,lbfgs,,False,2766.42659437677,-1377.213297188385
SARIMAX_atual,2003-12,False,50,lbfgs,,True,2716.0659042174602,-1349.0329521087301
SARIMA_sem_exog,2004-03,True,21,lbfgs,,False,2807.80934378393,-1397.904671891965
SARIMAX_atual,2004-03,False,50,lbfgs,,True,2758.4607518577927,-1370.2303759288964
SARIMA_sem_exog,2004-06,True,35,lbfgs,,False,2838.7093538098725,-1413.3546769049362
SARIMAX_atual,2004-06,False,50,lbfgs,,True,2788.854147810309,-1385.4270739051544
SARIMA_sem_exog,2004-09,True,35,lbfgs,,False,2869.028500674624,-1428.514250337312
SARIMAX_atual,2004-09,False,50,lbfgs,,True,2818.8111886321244,-1400.4055943160622
SARIMA_sem_exog,2004-12,True,37,lbfgs,,False,2900.9692794772027,-1444.4846397386013
SARIMAX_atual,2004-12,False,50,lbfgs,,True,2850.1690679073163,-1416.0845339536581
SARIMA_sem_exog,2005-03,True,45,lbfgs,,False,2941.0553767625856,-1464.5276883812928
SARIMAX_atual,2005-03,False,50,lbfgs,,True,2891.4013679638538,-1436.7006839819269
SARIMA_sem_exog,2005-06,True,35,lbfgs,,False,2971.837646635774,-1479.918823317887
SARIMAX_atual,2005-06,False,50,lbfgs,,True,2922.245937510928,-1452.122968755464
SARIMA_sem_exog,2005-09,True,38,lbfgs,,False,3001.9132335635386,-1494.9566167817693
SARIMAX_atual,2005-09,False,50,lbfgs,,True,2951.902357055972,-1466.951178527986
SARIMA_sem_exog,2005-12,True,37,lbfgs,,False,3032.684916166744,-1510.342458083372
SARIMAX_atual,2005-12,False,50,lbfgs,,True,2982.9570578936746,-1482.4785289468373
SARIMA_sem_exog,2006-03,True,29,lbfgs,,False,3068.4457821381393,-1528.2228910690696
SARIMAX_atual,2006-03,False,50,lbfgs,,True,3015.5519520716234,-1498.7759760358117
SARIMA_sem_exog,2006-06,True,43,lbfgs,,False,3116.055895565001,-1552.0279477825004
SARIMAX_atual,2006-06,False,50,lbfgs,,True,3065.0368701033694,-1523.5184350516847
SARIMA_sem_exog,2006-09,False,50,lbfgs,,True,3146.393000328817,-1567.1965001644085
SARIMAX_atual,2006-09,False,50,lbfgs,,True,3095.071822797302,-1538.535911398651
SARIMA_sem_exog,2006-12,False,50,lbfgs,,True,3178.272621092391,-1583.1363105461955
SARIMAX_atual,2006-12,False,50,lbfgs,,True,3126.698580473885,-1554.3492902369426
SARIMA_sem_exog,2007-03,False,50,lbfgs,,True,3224.2422218190623,-1606.1211109095311
SARIMAX_atual,2007-03,False,50,lbfgs,,True,3170.773107271261,-1576.3865536356304
SARIMA_sem_exog,2007-06,True,26,lbfgs,,False,3260.616883652333,-1624.3084418261665
SARIMAX_atual,2007-06,False,50,lbfgs,,True,3204.7011708666605,-1593.3505854333303
SARIMA_sem_exog,2007-09,False,50,lbfgs,,True,3285.951500309073,-1636.9757501545364
SARIMAX_atual,2007-09,False,50,lbfgs,,True,3232.5592949836214,-1607.2796474918107
SARIMA_sem_exog,2007-12,False,50,lbfgs,,True,3316.818529277622,-1652.409264638811
SARIMAX_atual,2007-12,False,50,lbfgs,,True,3264.952733162954,-1623.476366581477
SARIMA_sem_exog,2008-03,False,50,lbfgs,,True,3358.579972847504,-1673.289986423752
SARIMAX_atual,2008-03,False,50,lbfgs,,True,3308.6472845200406,-1645.3236422600203
SARIMA_sem_exog,2008-06,False,50,lbfgs,,True,3388.9762119167594,-1688.4881059583797
SARIMAX_atual,2008-06,False,50,lbfgs,,True,3332.899416801393,-1657.4497084006964
SARIMA_sem_exog,2008-09,True,48,lbfgs,,False,3419.5873545266813,-1703.7936772633407
SARIMAX_atual,2008-09,False,50,lbfgs,,True,3363.365722099674,-1672.682861049837
SARIMA_sem_exog,2008-12,False,50,lbfgs,,True,3451.456742331551,-1719.7283711657756
SARIMAX_atual,2008-12,False,50,lbfgs,,True,3395.086094058141,-1688.5430470290705
SARIMA_sem_exog,2009-03,False,50,lbfgs,,True,3482.9684947036676,-1735.4842473518338
SARIMAX_atual,2009-03,False,50,lbfgs,,True,3428.074536559342,-1705.037268279671
SARIMA_sem_exog,2009-06,True,24,lbfgs,,False,3529.541671420473,-1758.7708357102365
SARIMAX_atual,2009-06,False,50,lbfgs,,True,3474.331013968571,-1728.1655069842855
SARIMA_sem_exog,2009-09,True,29,lbfgs,,False,3560.2565854026584,-1774.1282927013292
SARIMAX_atual,2009-09,False,50,lbfgs,,True,3504.6184701993575,-1743.3092350996787
SARIMA_sem_exog,2009-12,True,34,lbfgs,,False,3591.9550201719812,-1789.9775100859906
SARIMAX_atual,2009-12,False,50,lbfgs,,True,3535.795595528052,-1758.897797764026
SARIMA_sem_exog,2010-03,True,30,lbfgs,,False,3629.1533407847533,-1808.5766703923766
SARIMAX_atual,2010-03,False,50,lbfgs,,True,3570.3199334720166,-1776.1599667360083
SARIMA_sem_exog,2010-06,True,31,lbfgs,,False,3659.6974445642427,-1823.8487222821213
SARIMAX_atual,2010-06,False,50,lbfgs,,True,3601.348372635425,-1791.6741863177126
SARIMA_sem_exog,2010-09,True,31,lbfgs,,False,3690.1869940008555,-1839.0934970004278
SARIMAX_atual,2010-09,False,50,lbfgs,,True,3631.184874442646,-1806.592437221323
SARIMA_sem_exog,2010-12,True,30,lbfgs,,False,3721.351657296195,-1854.6758286480974
SARIMAX_atual,2010-12,False,50,lbfgs,,True,3663.132704585302,-1822.566352292651
SARIMA_sem_exog,2011-03,True,45,lbfgs,,False,3752.486920293012,-1870.243460146506
SARIMAX_atual,2011-03,False,50,lbfgs,,True,3694.2808031154623,-1838.1404015577311
SARIMA_sem_exog,2011-06,True,44,lbfgs,,False,3782.836931843996,-1885.418465921998
SARIMAX_atual,2011-06,False,50,lbfgs,,True,3724.8518058865557,-1853.4259029432778
SARIMA_sem_exog,2011-09,True,41,lbfgs,,False,3813.2017879568266,-1900.6008939784133
SARIMAX_atual,2011-09,False,50,lbfgs,,True,3754.904203986402,-1868.452101993201
SARIMA_sem_exog,2011-12,False,50,lbfgs,,True,3848.2051077616998,-1918.1025538808499
SARIMAX_atual,2011-12,False,50,lbfgs,,True,3789.564606976821,-1885.7823034884104
SARIMA_sem_exog,2012-03,True,43,lbfgs,,False,3883.179275763767,-1935.5896378818834
SARIMAX_atual,2012-03,False,50,lbfgs,,True,3824.4983151963906,-1903.2491575981953
SARIMA_sem_exog,2012-06,True,37,lbfgs,,False,3918.3851312261545,-1953.1925656130772
SARIMAX_atual,2012-06,False,50,lbfgs,,True,3862.517083429261,-1922.2585417146306
SARIMA_sem_exog,2012-09,True,35,lbfgs,,False,3948.71712093711,-1968.358560468555
SARIMAX_atual,2012-09,False,50,lbfgs,,True,3892.413280148396,-1937.206640074198
SARIMA_sem_exog,2012-12,True,39,lbfgs,,False,3980.4315643544887,-1984.2157821772444
SARIMAX_atual,2012-12,False,50,lbfgs,,True,3925.0010866929138,-1953.5005433464569
SARIMA_sem_exog,2013-03,False,50,lbfgs,,True,4021.715262652948,-2004.857631326474
SARIMAX_atual,2013-03,False,50,lbfgs,,True,3964.077738678414,-1973.038869339207
SARIMA_sem_exog,2013-06,True,44,lbfgs,,False,4051.545595881329,-2019.7727979406645
SARIMAX_atual,2013-06,False,50,lbfgs,,True,3996.172670828232,-1989.086335414116
SARIMA_sem_exog,2013-09,True,41,lbfgs,,False,4082.096006544142,-2035.048003272071
SARIMAX_atual,2013-09,False,50,lbfgs,,True,4025.5013384509953,-2003.7506692254976
SARIMA_sem_exog,2013-12,False,50,lbfgs,,True,4112.703602213873,-2050.3518011069364
SARIMAX_atual,2013-12,False,50,lbfgs,,True,4057.31295453682,-2019.65647726841
SARIMA_sem_exog,2014-03,True,27,lbfgs,,False,4149.421088988776,-2068.710544494388
SARIMAX_atual,2014-03,False,50,lbfgs,,True,4094.8572743137393,-2038.4286371568696
SARIMA_sem_exog,2014-06,True,49,lbfgs,,False,4179.913157603842,-2083.956578801921
SARIMAX_atual,2014-06,False,50,lbfgs,,True,4125.3594272400205,-2053.6797136200103
SARIMA_sem_exog,2014-09,True,38,lbfgs,,False,4210.219138134676,-2099.109569067338
SARIMAX_atual,2014-09,False,50,lbfgs,,True,4155.103091573231,-2068.5515457866154
SARIMA_sem_exog,2014-12,False,50,lbfgs,,True,4241.53777124812,-2114.76888562406
SARIMAX_atual,2014-12,False,50,lbfgs,,True,4185.350479756104,-2083.675239878052
SARIMA_sem_exog,2015-03,False,50,lbfgs,,True,4272.184308833819,-2130.0921544169096
SARIMAX_atual,2015-03,False,50,lbfgs,,True,4217.208415993017,-2099.6042079965086
SARIMA_sem_exog,2015-06,False,50,lbfgs,,True,4304.864629858594,-2146.432314929297
SARIMAX_atual,2015-06,False,50,lbfgs,,True,4248.737401556424,-2115.368700778212
SARIMA_sem_exog,2015-09,True,44,lbfgs,,False,4335.271919109507,-2161.6359595547533
SARIMAX_atual,2015-09,False,50,lbfgs,,True,4278.836702015929,-2130.4183510079647
SARIMA_sem_exog,2015-12,False,50,lbfgs,,True,4372.282852641923,-2180.1414263209613
SARIMAX_atual,2015-12,False,50,lbfgs,,True,4313.758992610716,-2147.879496305358
SARIMA_sem_exog,2016-03,False,50,lbfgs,,True,4408.694234735243,-2198.3471173676216
SARIMAX_atual,2016-03,False,50,lbfgs,,True,4348.701969067304,-2165.350984533652
SARIMA_sem_exog,2016-06,False,50,lbfgs,,True,4441.058868393959,-2214.5294341969793
SARIMAX_atual,2016-06,False,50,lbfgs,,True,4378.849413539352,-2180.424706769676
SARIMA_sem_exog,2016-09,True,49,lbfgs,,False,4471.356950076148,-2229.678475038074
SARIMAX_atual,2016-09,False,50,lbfgs,,True,4408.6246570418025,-2195.3123285209012
SARIMA_sem_exog,2016-12,True,40,lbfgs,,False,4503.276339851016,-2245.638169925508
SARIMAX_atual,2016-12,False,50,lbfgs,,True,4440.977189402787,-2211.4885947013936
SARIMA_sem_exog,2017-03,False,50,lbfgs,,True,4551.964201394591,-2269.9821006972957
SARIMAX_atual,2017-03,False,50,lbfgs,,True,4483.626829059384,-2232.813414529692
SARIMA_sem_exog,2017-06,False,50,lbfgs,,True,4583.425657011237,-2285.7128285056183
SARIMAX_atual,2017-06,False,50,lbfgs,,True,4515.178600335057,-2248.5893001675286
SARIMA_sem_exog,2017-09,False,50,lbfgs,,True,4613.907546105284,-2300.953773052642
SARIMAX_atual,2017-09,False,50,lbfgs,,True,4545.5490212545465,-2263.7745106272732
SARIMA_sem_exog,2017-12,False,50,lbfgs,,True,4644.067616436523,-2316.0338082182616
SARIMAX_atual,2017-12,False,50,lbfgs,,True,4577.561818911215,-2279.7809094556073
SARIMA_sem_exog,2018-03,False,50,lbfgs,,True,4680.977472755493,-2334.4887363777466
SARIMAX_atual,2018-03,False,50,lbfgs,,True,4609.381050929901,-2295.6905254649505
SARIMA_sem_exog,2018-06,True,47,lbfgs,,False,4712.027749291361,-2350.0138746456805
SARIMAX_atual,2018-06,False,50,lbfgs,,True,4640.675739001016,-2311.337869500508
SARIMA_sem_exog,2018-09,True,44,lbfgs,,False,4742.18492182215,-2365.092460911075
SARIMAX_atual,2018-09,False,50,lbfgs,,True,4671.476059309351,-2326.7380296546753
SARIMA_sem_exog,2018-12,True,46,lbfgs,,False,4773.873625401166,-2380.936812700583
SARIMAX_atual,2018-12,False,50,lbfgs,,True,4703.8658799431105,-2342.9329399715552
SARIMA_sem_exog,2019-03,True,47,lbfgs,,False,4808.981940016409,-2398.4909700082044
SARIMAX_atual,2019-03,False,50,lbfgs,,True,4738.202419508695,-2360.1012097543476
SARIMA_sem_exog,2019-06,False,50,lbfgs,,True,4839.775754682831,-2413.8878773414153
SARIMAX_atual,2019-06,False,50,lbfgs,,True,4770.267964231817,-2376.1339821159086
SARIMA_sem_exog,2019-09,False,50,lbfgs,,True,4870.204560102621,-2429.1022800513106
SARIMAX_atual,2019-09,False,50,lbfgs,,True,4800.265150201838,-2391.132575100919
SARIMA_sem_exog,2019-12,False,50,lbfgs,,True,4902.718825377817,-2445.3594126889084
SARIMAX_atual,2019-12,False,50,lbfgs,,True,4831.580537346007,-2406.7902686730035
SARIMA_sem_exog,2020-03,False,50,lbfgs,,True,4936.264596508355,-2462.1322982541774
SARIMAX_atual,2020-03,False,50,lbfgs,,True,4864.031662338601,-2423.0158311693003
SARIMA_sem_exog,2020-06,True,39,lbfgs,,False,4983.672679724983,-2485.8363398624915
SARIMAX_atual,2020-06,False,50,lbfgs,,True,4915.905723414844,-2448.952861707422
SARIMA_sem_exog,2020-09,False,50,lbfgs,,True,5012.213852267667,-2500.1069261338334
SARIMAX_atual,2020-09,False,50,lbfgs,,True,4945.643973449889,-2463.8219867249445
SARIMA_sem_exog,2020-12,True,34,lbfgs,,False,5045.206134837867,-2516.6030674189333
SARIMAX_atual,2020-12,False,50,lbfgs,,True,4975.64575756365,-2478.822878781825
SARIMA_sem_exog,2021-03,True,36,lbfgs,,False,5074.654680072341,-2531.3273400361704
SARIMAX_atual,2021-03,False,50,lbfgs,,True,5009.331551490339,-2495.6657757451694
SARIMA_sem_exog,2021-06,True,37,lbfgs,,False,5105.30746348623,-2546.653731743115
SARIMAX_atual,2021-06,False,50,lbfgs,,True,5039.544637666678,-2510.772318833339
