modelo,origem,converged,iterations,optimizer,maxiter_config,warning_convergencia_emitido,aic,llf
SARIMA_sem_exog,1995-12,True,46,lbfgs,,False,1710.1181154968044,-849.0590577484022
SARIMAX_atual,1995-12,True,44,lbfgs,,False,1664.6794528948788,-823.3397264474394
SARIMA_sem_exog,1996-01,True,43,lbfgs,,False,1720.8816498054425,-854.4408249027213
SARIMAX_atual,1996-01,True,47,lbfgs,,False,1675.511823363388,-828.755911681694
SARIMA_sem_exog,1996-02,False,50,lbfgs,,True,1731.6349868997156,-859.8174934498578
SARIMAX_atual,1996-02,False,50,lbfgs,,True,1685.7059082151113,-833.8529541075557
SARIMA_sem_exog,1996-03,False,50,lbfgs,,True,1744.5711336761015,-866.2855668380507
SARIMAX_atual,1996-03,False,50,lbfgs,,True,1699.6364682952023,-840.8182341476012
SARIMA_sem_exog,1996-04,True,46,lbfgs,,False,1759.1746931345524,-873.5873465672762
SARIMAX_atual,1996-04,True,40,lbfgs,,False,1713.5319523772682,-847.7659761886341
SARIMA_sem_exog,1996-05,False,50,lbfgs,,True,1769.7492044991,-878.87460224955
SARIMAX_atual,1996-05,False,50,lbfgs,,True,1723.6966761740828,-852.8483380870414
SARIMA_sem_exog,1996-06,False,50,lbfgs,,True,1780.4754481286163,-884.2377240643082
SARIMAX_atual,1996-06,True,39,lbfgs,,False,1734.2797882232153,-858.1398941116076
SARIMA_sem_exog,1996-07,False,50,lbfgs,,True,1794.8240633746063,-891.4120316873032
SARIMAX_atual,1996-07,False,50,lbfgs,,True,1744.259126466042,-863.129563233021
SARIMA_sem_exog,1996-08,False,50,lbfgs,,True,1800.4980857725504,-894.2490428862752
SARIMAX_atual,1996-08,True,41,lbfgs,,False,1755.1043433521852,-868.5521716760926
SARIMA_sem_exog,1996-09,True,45,lbfgs,,False,1818.7294901869736,-903.3647450934868
SARIMAX_atual,1996-09,False,50,lbfgs,,True,1765.832948527307,-873.9164742636535
SARIMA_sem_exog,1996-10,False,50,lbfgs,,True,1822.708615331956,-905.354307665978
SARIMAX_atual,1996-10,False,50,lbfgs,,True,1775.6858675645344,-878.8429337822672
SARIMA_sem_exog,1996-11,False,50,lbfgs,,True,1831.9128820742503,-909.9564410371252
