ano,mes,prec
2006,11,162.6
2006,12,193.2
2007,1,236.8
2007,2,418.4
2007,3,143.5
2007,4,215.7
2007,5,61.6
2007,6,7.9
2007,7,0.0
2007,8,0.0
2007,9,23.3
2007,10,102.8
2007,11,144.9
2007,12,185.9
2008,1,274.0
2008,2,242.9
2008,3,294.8
2008,4,216.0
2008,5,128.6
2008,6,7.0
2008,7,0.0
2008,8,8.2
2008,9,36.0
2008,10,78.4
2008,11,227.1
2008,12,237.8
2009,1,178.0
2009,2,206.8
2009,3,233.8
2009,4,297.0
2009,5,256.6
2009,6,9.7
2009,7,0.0
2009,8,13.8
2009,9,44.6
2009,10,162.0
2009,11,123.7
2009,12,283.9
2010,1,218.3
2010,2,212.9
2010,3,181.2
2010,4,203.5
2010,5,31.0
2010,6,16.2
2010,7,0.0
2010,8,0.0
2010,9,7.0
2010,10,151.6
2010,11,141.1
2010,12,216.0
2011,1,269.3
2011,2,362.9
2011,3,261.4
2011,4,237.6
2011,5,76.9
2011,6,8.2
2011,7,0.0
2011,8,4.0
2011,9,18.3
2011,10,128.0
2011,11,340.7
2011,12,186.7
2012,1,271.7
2012,2,246.1
2012,3,199.4
2012,4,139.4
2012,5,55.8
2012,6,19.0
2012,7,0.0
2012,8,0.0
2012,9,27.3
2012,10,107.2
2012,11,247.1
2012,12,216.1
2013,1,422.1
2013,2,178.2
2013,3,162.3
2013,4,130.2
2013,5,101.3
2013,6,51.8
2013,7,0.0
2013,8,9.8
2013,9,37.5
2013,10,134.0
2013,11,210.8
2013,12,354.9
2014,1,190.0
2014,2,446.2
2014,3,356.2
2014,4,201.9
2014,5,95.1
2014,6,6.8
2014,7,7.0
2014,8,7.3
2014,9,49.6
2014,10,157.8
2014,11,266.5
2014,12,261.0
2015,1,335.7
2015,2,259.9
2015,3,197.1
2015,4,275.1
2015,5,92.3
2015,6,10.1
2015,7,8.8
2015,8,5.9
2015,9,10.2
2015,10,54.9
2015,11,79.5
2015,12,128.5
2016,1,393.8
2016,2,139.7
2016,3,254.6
2016,4,141.1
2016,5,49.5
2016,6,33.4
2016,7,1.3
2016,8,10.1
2016,9,83.7
2016,10,109.6
2016,11,209.7
2016,12,145.7
2017,1,248.8
2017,2,509.6
2017,3,267.7
2017,4,261.7
2017,5,28.9
2017,6,43.7
2017,7,0.0
2017,8,9.7
2017,9,5.0
2017,10,98.1
2017,11,186.5
2017,12,246.7
2018,1,229.8
2018,2,399.9
2018,3,444.1
2018,4,363.1
2018,5,11.2
2018,6,6.8
2018,7,0.0
2018,8,8.3
2018,9,57.9
2018,10,140.1
2018,11,233.8
2018,12,228.3
2019,1,192.5
2019,2,203.3
2019,3,335.6
2019,4,266.4
2019,5,91.6
2019,6,6.3
2019,7,10.7
2019,8,0.0
2019,9,28.7
2019,10,219.6
2019,11,168.7
2019,12,209.0
2020,1,244.9
2020,2,271.9
2020,3,374.9
2020,4,377.8
2020,5,61.3
2020,6,8.7
2020,7,1.9
2020,8,1.3
2020,9,17.0
2020,10,77.5
2020,11,146.9
2020,12,171.7
2021,1,179.5
2021,2,296.2
2021,3,280.6
2021,4,189.8
2021,5,24.5
2021,6,7.2
2021,7,14.0
2021,8,11.0
2021,9,58.0
2021,10,185.4
2021,11,302.3
2021,12,486.0
2022,1,295.7
2022,2,210.5
2022,3,240.5
2022,4,75.4
2022,5,11.6
2022,6,12.9
2022,7,0.0
2022,8,0.0
2022,9,8.4
2022,10,83.6
2022,11,306.6
2022,12,417.8
2023,1,209.2
2023,2,260.1
2023,3,379.7
2023,4,319.3
2023,5,85.4
2023,6,0.0
2023,7,0.0
2023,8,28.5
2023,9,33.0
2023,10,136.1
2023,11,141.9
2023,12,208.3
2024,1,297.6
2024,2,302.4
2024,3,299.5
2024,4,247.5
2024,5,6.6
2024,6,4.7
2024,7,0.0
2024,8,11.7
2024,9,25.3
2024,10,105.1
2024,11,169.8
2024,12,244.4
2025,1,273.1
2025,2,290.2
2025,3,290.1
2025,4,149.7
2025,5,23.9
2025,6,7.2
2025,7,2.3
2025,8,7.6
2025,9,25.8
2025,10,69.3
2025,11,187.5
2025,12,427.5
