origem,n_resid,mean_resid,autocorr_lag1,ljungbox_p_lag6,ljungbox_p_lag12,resid_mes_01,resid_mes_02,resid_mes_03,resid_mes_04,resid_mes_05,resid_mes_06,resid_mes_07,resid_mes_08,resid_mes_09,resid_mes_10,resid_mes_11,resid_mes_12
1995-12,177,15.292199506615981,0.4484171957082799,1.501648665253156e-14,4.915470135224821e-13,-1.8322699748600704,45.71401349004155,17.129890216922178,28.76153728952056,22.37469750877081,4.87883252511885,2.7360026407862805,-5.138994338814822,2.8286985185293787,2.9272697168250335,29.516049829364327,34.6196690046714
1996-03,180,16.280777145621375,0.4400398008310149,2.120116065911917e-14,6.699221644212862e-13,1.0647993014188368,45.44571296182262,23.596163074943153,28.69848902074812,22.637400005821274,5.008793603182514,3.392771211298691,-4.888900927327134,3.5120536998481904,3.1083889428222204,29.45478230759905,34.33887254527899
1996-06,183,16.521472622967778,0.42809555213305345,4.38138808873522e-14,1.5474264527651185e-12,0.38728410266418983,45.70899326924166,24.065975887157936,33.72109280911366,22.926261284539265,1.1645244677771809,3.8996040208758873,-5.2345312667978545,4.694187481200596,2.911284036947306,29.66336055477832,33.79980411528012
1996-09,186,15.603517911273075,0.4263122285690865,4.902828538909805e-14,2.2682748234382656e-12,-0.13708913392345798,45.80422428579254,24.410396224666922,33.21278423567104,22.933778488676573,0.7752279871178138,3.240968997626596,-8.375385766482772,2.0397343124147174,2.648741099284431,29.684419694239473,33.65734779103404
1996-12,189,14.840566666032416,0.42456471075968266,5.871515920357174e-14,4.361282787564198e-12,-1.3744145209248775,46.285801260261756,23.62695206859815,34.24670801179557,21.904133025999187,2.0370355660607715,2.0952875746852477,-7.3710441530225275,0.9759293924174681,3.804907614154507,28.99739052556918,24.359153552409452
1997-03,192,12.179054151237002,0.2924310796352301,7.662401056568498e-06,0.00017978390783702082,-2.4374927607890733,25.72891551319346,28.445114587242802,27.212090460781564,19.41571550115337,3.861694556279579,-0.4791922725382145,-6.31503137845198,-0.6886056203083282,4.49094729571148,22.32298611507747,24.591507817491895
1997-06,195,12.238525417836046,0.28718880054378365,7.041254986945073e-06,0.00016931975313971303,-2.6183145778455295,25.76325646568855,27.762896534270155,28.405055214674054,18.843882585628602,3.8419073463704945,-0.07688645751996148,-6.098793537469805,-0.46585672589151983,4.464471522221165,22.095103914487638,24.04712842359592
1997-09,198,12.122329157237884,0.2742225955895644,2.4025715850610005e-05,0.0005185081090413522,-3.026593866320452,25.057727188812464,27.396838799940937,27.987754632211864,18.59993819106474,3.8826130990601126,1.118478781640245,-3.564267221754929,-0.5276796625347687,4.7059459464925775,21.814422404191273,23.600092664284322
1997-12,201,11.791578053500121,0.2791692297112549,1.0419313043451585e-05,0.00021811430001363892,-2.972613027025311,25.2212260367859,27.27143313614476,28.080118903129033,18.647179542132573,3.913550602149859,1.1029605094563524,-3.6077150530551916,-0.5421323198631073,4.486139517485162,18.92054993044682,21.810316039826663
1998-03,204,13.79355863166723,0.38748646288161587,1.7549927121486253e-12,1.972212471012531e-10,8.320994678991108,23.15298723033199,24.357795119691104,32.18607330266579,21.550561598725206,5.3726367485553395,3.093057781525433,-2.7506168723524063,0.17954910014604208,4.777807314257837,21.71878897508021,23.56306860238909
1998-06,207,10.539024857915704,0.23073961452292907,0.0007285291457647046,0.010969091067632603,3.408724550796346,14.467624486474923,21.822504109691543,19.83451598698848,18.816597793279968,4.621139965824667,2.1417700903677677,-2.602556986220163,0.13825969288253492,4.872200256363617,17.902757285283542,20.359162288411337
1998-09,210,11.231960098564487,0.29044617343065926,1.8699352169627823e-06,7.402831870736782e-05,4.8048394725998,17.338760748653435,23.730878112940392,21.345995634386462,20.01124321660739,5.597647041192469,2.5815362503643433,-2.8249819366525646,-2.2633518546566287,4.928561237192696,19.014214737116877,21.867806301861275
1998-12,213,8.037828171690094,0.22511216380772064,0.0006057515903744681,0.009033100859347243,3.327983744728857,14.658995926578102,21.414768578388134,18.89093298881135,17.628417727037192,3.6162779028376693,1.2043291513134902,-3.401296609760603,-2.891329534262075,-1.7227370682402912,13.062453051443123,11.514490186663117
1999-03,216,9.987981991848777,0.27792183023095596,6.0798059422062936e-06,0.0002206348064645342,5.151845126755521,15.495925477709811,29.411854659973024,20.845983475722143,19.483608222263932,4.990721934469588,2.470090174157752,-2.436293033292355,-1.7217047533521135,-0.9737973549281465,13.873156160723225,13.26439381198295
1999-06,219,9.959767910527999,0.28270033123880733,2.4829274590822505e-06,0.00010156342327483913,5.439569046158419,15.713637131427788,29.573941654191596,17.812141609597646,21.516888611990844,4.001855515361956,2.447393749863775,-2.3370284934034014,-1.8608972791636802,-0.961112660867077,14.003384387443234,13.420131542325642
1999-09,222,9.250888695774524,0.2777811501989476,4.226201492506237e-06,0.00011400427640129268,5.589853273946566,15.554639774413921,29.28280077378385,17.642081847652896,21.37547907406951,3.8727802969104816,0.07383088091459686,-4.21863943482916,-3.244576900483685,-1.026577462573143,14.02342723541092,13.19691923510044
1999-12,225,8.71233829933172,0.2789355964089938,2.258537552574674e-06,6.599594377645709e-05,6.203602662331728,15.584584881815342,29.05161539587921,17.522346287991127,21.11703644093497,3.7634783798404423,-0.016643483291291335,-4.068848918355959,-3.251571362533624,-3.248168526271782,10.159727060871793,13.031047511822946
2000-03,228,8.891675713108665,0.2759338730446163,3.0917953627448364e-06,7.762074077613067e-05,8.561832053382329,17.667169315646323,24.285850754124144,17.658205152811007,21.53036403318649,3.9114690303620736,0.22627002415411523,-4.124227097621333,-3.0711109142111708,-3.4598752260225267,10.21544336185729,13.298718069635228
2000-06,231,10.748158713496958,0.36517005086319687,1.6717927945593634e-12,1.0506210793631648e-10,10.084726442279365,22.459014889352787,25.351114095216708,25.39554920359789,22.916710364280426,4.14320228720097,1.402592533322966,-3.8154987758292256,-3.129240677627724,-3.4056770175150963,11.581542058154637,14.93013306928826
2000-09,234,9.289651256837768,0.29633222516632296,2.566971650877252e-07,7.356014165780853e-06,8.669714489110602,18.036074419035625,24.78782263177577,23.0899746265016,20.940052282800053,3.174947150279897,0.5799383065391451,-4.976342208456057,-2.1996034890403817,-3.4922570502573067,10.069541074953682,13.592212894726488
2000-12,237,8.281823514479765,0.27468570165583905,1.7624742219645707e-06,4.6533391898570856e-05,8.817749108267686,17.640837385079042,23.921069970149034,22.48580649774278,20.188946313011296,2.4753244073329,0.2029243482165885,-5.06319980487291,-2.5119688051774878,-7.997209797842385,6.857333708511621,13.640978139341845
2001-03,240,8.106238361436096,0.26376273984265663,8.553409594217092e-06,0.00020256037517838775,4.4045093081287705,18.200452907962255,24.533296959059246,22.486057163073827,20.091547010474024,2.474592141657319,0.15871204578984574,-5.040729188954158,-2.2695372757892356,-7.822258588188464,6.431504561727624,13.6267132922921
2001-06,243,7.835122044208899,0.25644726152372704,1.1975486814962925e-05,0.00026152201277004206,4.185038567723121,18.02476728235547,24.384537097061326,20.202838338697454,18.858738287755504,2.8615291692446228,0.1095372385442408,-5.134933523379955,-2.296409131310782,-7.948637253779251,6.353887235719283,13.49968423872221
2001-09,246,7.871463469374236,0.2693141532531208,2.2864198262226405e-06,5.3655522076159736e-05,4.468829884612241,18.668999019748295,24.85882727526205,20.64233805303474,19.380870600851,3.331614036147743,0.28388969077252296,-5.333686819118516,-3.830352934122424,-7.7506330843066396,6.576208779531416,13.79836253951242
2001-12,249,8.123603595148492,0.26922507867630996,1.0070655972129084e-06,2.6757021722128963e-05,4.761989575648603,19.624888682310957,25.562168144855573,21.06308786671027,19.888553034141786,3.7788417011964737,0.9114932866705039,-4.894861737712368,-3.0665835271280444,-8.147922877798537,7.327571247350041,11.892028965411361
2002-03,252,7.561462069276887,0.25500220503158877,7.824721321529242e-06,0.00015350572283933414,8.348748411235087,12.97809605770747,21.393885594032753,21.087779908576184,19.733130880622888,3.5396932422940117,0.7435235601963088,-4.940567845177394,-2.8462957923750816,-8.122528948495106,6.868333848734083,11.953745913971442
2002-06,255,7.788210858212316,0.2589346287272911,4.325395229538239e-06,9.283963505804555e-05,8.461961052121184,13.201021372019786,21.500281907409587,20.775922905339176,20.93609724308071,3.797037742378464,0.820012276335004,-4.952538664855381,-2.900830960600475,-8.186763382646621,6.921952693888498,12.029879670451129
2002-09,258,7.719500334695639,0.2593123658643888,3.064420588143692e-06,6.667595274220061e-05,8.506827247177208,13.273190487520392,21.474956567210832,20.774349920194343,20.92879661809759,3.805118107932232,0.7335878889041438,-4.559508619988406,-2.7727646502370575,-8.184356280784598,6.973441811515776,12.033099335151453
