ano,mes,prec,fonte,local
2016,1,310.2,CHIRPS,Araguatins
2016,2,147.9,CHIRPS,Araguatins
2016,3,266.2,CHIRPS,Araguatins
2016,4,187.7,CHIRPS,Araguatins
2016,5,62.2,CHIRPS,Araguatins
2016,6,12.6,CHIRPS,Araguatins
2016,7,0.0,CHIRPS,Araguatins
2016,8,12.1,CHIRPS,Araguatins
2016,9,81.8,CHIRPS,Araguatins
2016,10,107.4,CHIRPS,Araguatins
2016,11,150.9,CHIRPS,Araguatins
2016,12,134.7,CHIRPS,Araguatins
2017,1,278.1,CHIRPS,Araguatins
2017,2,546.5,CHIRPS,Araguatins
2017,3,302.1,CHIRPS,Araguatins
2017,4,321.6,CHIRPS,Araguatins
2017,5,64.8,CHIRPS,Araguatins
2017,6,8.7,CHIRPS,Araguatins
2017,7,5.1,CHIRPS,Araguatins
2017,8,14.2,CHIRPS,Araguatins
2017,9,13.6,CHIRPS,Araguatins
2017,10,49.6,CHIRPS,Araguatins
2017,11,203.6,CHIRPS,Araguatins
2017,12,144.9,CHIRPS,Araguatins
2018,1,242.4,CHIRPS,Araguatins
2018,2,370.4,CHIRPS,Araguatins
2018,3,374.3,CHIRPS,Araguatins
2018,4,264.2,CHIRPS,Araguatins
2018,5,41.7,CHIRPS,Araguatins
2018,6,0.0,CHIRPS,Araguatins
2018,7,0.0,CHIRPS,Araguatins
2018,8,11.9,CHIRPS,Araguatins
2018,9,55.0,CHIRPS,Araguatins
2018,10,70.4,CHIRPS,Araguatins
2018,11,236.3,CHIRPS,Araguatins
2018,12,200.2,CHIRPS,Araguatins
2019,1,220.7,CHIRPS,Araguatins
2019,2,252.8,CHIRPS,Araguatins
2019,3,346.0,CHIRPS,Araguatins
2019,4,210.1,CHIRPS,Araguatins
2019,5,96.7,CHIRPS,Araguatins
2019,6,4.1,CHIRPS,Araguatins
2019,7,7.3,CHIRPS,Araguatins
2019,8,6.9,CHIRPS,Araguatins
2019,9,11.3,CHIRPS,Araguatins
2019,10,75.3,CHIRPS,Araguatins
2019,11,133.5,CHIRPS,Araguatins
2019,12,100.0,CHIRPS,Araguatins
2020,1,265.6,CHIRPS,Araguatins
2020,2,308.6,CHIRPS,Araguatins
2020,3,447.9,CHIRPS,Araguatins
2020,4,439.6,CHIRPS,Araguatins
2020,5,56.2,CHIRPS,Araguatins
2020,6,11.4,CHIRPS,Araguatins
2020,7,1.9,CHIRPS,Araguatins
2020,8,13.4,CHIRPS,Araguatins
2020,9,19.8,CHIRPS,Araguatins
2020,10,64.8,CHIRPS,Araguatins
2020,11,169.1,CHIRPS,Araguatins
2020,12,217.0,CHIRPS,Araguatins
2021,1,208.9,CHIRPS,Araguatins
2021,2,388.2,CHIRPS,Araguatins
2021,3,420.3,CHIRPS,Araguatins
2021,4,222.1,CHIRPS,Araguatins
2021,5,46.7,CHIRPS,Araguatins
2021,6,15.6,CHIRPS,Araguatins
2021,7,12.7,CHIRPS,Araguatins
2021,8,4.9,CHIRPS,Araguatins
2021,9,81.6,CHIRPS,Araguatins
2021,10,207.5,CHIRPS,Araguatins
2021,11,191.7,CHIRPS,Araguatins
2021,12,355.8,CHIRPS,Araguatins
2022,1,324.7,CHIRPS,Araguatins
2022,2,233.7,CHIRPS,Araguatins
2022,3,339.2,CHIRPS,Araguatins
2022,4,103.8,CHIRPS,Araguatins
2022,5,46.3,CHIRPS,Araguatins
2022,6,34.3,CHIRPS,Araguatins
2022,7,0.0,CHIRPS,Araguatins
2022,8,2.5,CHIRPS,Araguatins
2022,9,10.4,CHIRPS,Araguatins
2022,10,49.7,CHIRPS,Araguatins
2022,11,278.3,CHIRPS,Araguatins
2022,12,265.0,CHIRPS,Araguatins
2023,1,188.7,CHIRPS,Araguatins
2023,2,307.6,CHIRPS,Araguatins
2023,3,362.0,CHIRPS,Araguatins
2023,4,165.2,CHIRPS,Araguatins
2023,5,71.9,CHIRPS,Araguatins
2023,6,0.0,CHIRPS,Araguatins
2023,7,0.0,CHIRPS,Araguatins
2023,8,5.4,CHIRPS,Araguatins
2023,9,13.3,CHIRPS,Araguatins
2023,10,74.7,CHIRPS,Araguatins
2023,11,72.0,CHIRPS,Araguatins
2023,12,132.8,CHIRPS,Araguatins
2024,1,301.7,CHIRPS,Araguatins
2024,2,229.8,CHIRPS,Araguatins
2024,3,360.7,CHIRPS,Araguatins
2024,4,202.8,CHIRPS,Araguatins
2024,5,15.8,CHIRPS,Araguatins
2024,6,1.7,CHIRPS,Araguatins
2024,7,7.6,CHIRPS,Araguatins
2024,8,8.6,CHIRPS,Araguatins
2024,9,3.0,CHIRPS,Araguatins
2024,10,53.2,CHIRPS,Araguatins
2024,11,119.3,CHIRPS,Araguatins
2024,12,0.0,CHIRPS,Araguatins
2015,1,311.4,CHIRPS,Sao_Bento_do_Tocantins
